youtube_id,time_start,time_end,vatex_vid
ramHGAZP14k,49,59,ramHGAZP14k_000049_000059
hMTB7htuKaM,14,24,hMTB7htuKaM_000014_000024
efvOYBo03XM,351,361,efvOYBo03XM_000351_000361
qdKnAq7KQ5c,85,95,qdKnAq7KQ5c_000085_000095
_Z0BTbNISSM,1,11,_Z0BTbNISSM_000001_000011
zwxqIKwviHg,4,14,zwxqIKwviHg_000004_000014
Z98p8TxG9aE,38,48,Z98p8TxG9aE_000038_000048
O9kHjU0CNuQ,0,10,O9kHjU0CNuQ_000000_000010
0fZrbXGkLBU,76,86,0fZrbXGkLBU_000076_000086
9-eiUz08Y0E,5,15,9-eiUz08Y0E_000005_000015
d13fbMZ75EQ,9,19,d13fbMZ75EQ_000009_000019
mfzGG8Mlrak,141,151,mfzGG8Mlrak_000141_000151
eA7vqqy0j7c,73,83,eA7vqqy0j7c_000073_000083
6dsG2BIL53o,0,10,6dsG2BIL53o_000000_000010
78M2QDjGQz4,8,18,78M2QDjGQz4_000008_000018
sq0mrRVotXc,2,12,sq0mrRVotXc_000002_000012
cqlOznBeksA,8,18,cqlOznBeksA_000008_000018
vciTh3A0TaM,7,17,vciTh3A0TaM_000007_000017
D1ulVrC_sC4,0,10,D1ulVrC_sC4_000000_000010
P1pIeYo-EZA,70,80,P1pIeYo-EZA_000070_000080
1L2LB7zIEI4,0,10,1L2LB7zIEI4_000000_000010
8MlUmCW4z8s,60,70,8MlUmCW4z8s_000060_000070
mrKxoh6jWBU,532,542,mrKxoh6jWBU_000532_000542
yjtBhdBVtNM,20,30,yjtBhdBVtNM_000020_000030
I341FpQlaD8,0,10,I341FpQlaD8_000000_000010
YEBDRLFtWlc,24,34,YEBDRLFtWlc_000024_000034
_vK13Pa2mPU,2,12,_vK13Pa2mPU_000002_000012
xGPyYkoB1T0,22,32,xGPyYkoB1T0_000022_000032
4m-dwtx_W6E,34,44,4m-dwtx_W6E_000034_000044
YjssaKs98Fc,34,44,YjssaKs98Fc_000034_000044
QmWfgOt-qdo,96,106,QmWfgOt-qdo_000096_000106
6t5xk5mgiCk,115,125,6t5xk5mgiCk_000115_000125
aM4WyvYFP1k,795,805,aM4WyvYFP1k_000795_000805
bCRO46WqWUI,28,38,bCRO46WqWUI_000028_000038
0aSmZ91nawo,60,70,0aSmZ91nawo_000060_000070
Z8biLpJ3pcE,0,10,Z8biLpJ3pcE_000000_000010
lDOd8Z0Vwbg,236,246,lDOd8Z0Vwbg_000236_000246
9fuIpQgnNEQ,49,59,9fuIpQgnNEQ_000049_000059
gpUo_tXVnQ4,77,87,gpUo_tXVnQ4_000077_000087
gDPpzTHWCrI,153,163,gDPpzTHWCrI_000153_000163
_iqgDkqaU7Q,40,50,_iqgDkqaU7Q_000040_000050
ZchkDtrtqVA,49,59,ZchkDtrtqVA_000049_000059
eYn8jtKpVkM,31,41,eYn8jtKpVkM_000031_000041
ymk0v7yJlTc,18,28,ymk0v7yJlTc_000018_000028
sHXTWfRLOD8,4,14,sHXTWfRLOD8_000004_000014
JoP6OUiUt2E,15,25,JoP6OUiUt2E_000015_000025
2kJxrcNRS9w,47,57,2kJxrcNRS9w_000047_000057
JibAaj4av9Y,11,21,JibAaj4av9Y_000011_000021
ifQs3qHV5Zw,394,404,ifQs3qHV5Zw_000394_000404
91kpnldKk9w,53,63,91kpnldKk9w_000053_000063
EdmxgI1nRxo,0,10,EdmxgI1nRxo_000000_000010
Oiu5EWCVjCw,1,11,Oiu5EWCVjCw_000001_000011
Dq2zyo-b7xA,64,74,Dq2zyo-b7xA_000064_000074
3PSxWa6rGY4,1,11,3PSxWa6rGY4_000001_000011
-cqADbIiZ1Q,129,139,-cqADbIiZ1Q_000129_000139
ejSQTt97cM8,160,170,ejSQTt97cM8_000160_000170
d1ivUKtu0OM,0,10,d1ivUKtu0OM_000000_000010
8rtQbCf53aI,25,35,8rtQbCf53aI_000025_000035
3Utbg9HZ-ms,8,18,3Utbg9HZ-ms_000008_000018
1Ab7zUfv0Cg,381,391,1Ab7zUfv0Cg_000381_000391
t3dM_0zixzU,0,10,t3dM_0zixzU_000000_000010
_liD2pIdpXk,160,170,_liD2pIdpXk_000160_000170
4NJmrztbxiQ,31,41,4NJmrztbxiQ_000031_000041
6l-Waa_Pnmw,9,19,6l-Waa_Pnmw_000009_000019
GoXR-RIJXV4,0,10,GoXR-RIJXV4_000000_000010
G0mjFqytJt4,152,162,G0mjFqytJt4_000152_000162
f39qVw_13dg,128,138,f39qVw_13dg_000128_000138
75XDx5RGusk,12,22,75XDx5RGusk_000012_000022
iOY3tOakTi8,31,41,iOY3tOakTi8_000031_000041
I-w3sJe4dEE,0,10,I-w3sJe4dEE_000000_000010
J4CbY-xiEug,6,16,J4CbY-xiEug_000006_000016
Ib7NNJLjyT8,4,14,Ib7NNJLjyT8_000004_000014
TTwymacgQTY,45,55,TTwymacgQTY_000045_000055
A5EP2j_ZuGY,47,57,A5EP2j_ZuGY_000047_000057
LEEGxOZruH4,161,171,LEEGxOZruH4_000161_000171
_Xo644SJQ3o,138,148,_Xo644SJQ3o_000138_000148
R69gd9CfwFo,20,30,R69gd9CfwFo_000020_000030
gcbJi0VPzc8,12,22,gcbJi0VPzc8_000012_000022
Ca78lDSy4to,122,132,Ca78lDSy4to_000122_000132
w9JdtKedaZI,112,122,w9JdtKedaZI_000112_000122
JUD699Q3hU0,52,62,JUD699Q3hU0_000052_000062
AnwCVPInx18,64,74,AnwCVPInx18_000064_000074
IcSYsu7ZzCs,4,14,IcSYsu7ZzCs_000004_000014
_ctzjJx0uV8,99,109,_ctzjJx0uV8_000099_000109
9F0fySfyvyQ,84,94,9F0fySfyvyQ_000084_000094
zDBUTSIdwPw,90,100,zDBUTSIdwPw_000090_000100
0zNEeg9UCrM,10,20,0zNEeg9UCrM_000010_000020
vuHbzTYRWjQ,0,10,vuHbzTYRWjQ_000000_000010
A3A9FYYqj9s,26,36,A3A9FYYqj9s_000026_000036
PjMBFaF-LDY,202,212,PjMBFaF-LDY_000202_000212
q7MfG_x03_Q,41,51,q7MfG_x03_Q_000041_000051
cWbSJOfhcE4,128,138,cWbSJOfhcE4_000128_000138
DGSfcAICwx0,0,10,DGSfcAICwx0_000000_000010
xoC9cDva8Fw,258,268,xoC9cDva8Fw_000258_000268
u8ErD1FXV74,19,29,u8ErD1FXV74_000019_000029
rm58ump6gsM,12,22,rm58ump6gsM_000012_000022
veNKRJ21hxo,11,21,veNKRJ21hxo_000011_000021
xfKDnu0XKsE,19,29,xfKDnu0XKsE_000019_000029
d27aRRPH8wI,1,11,d27aRRPH8wI_000001_000011
l8qplp0g7C8,5,15,l8qplp0g7C8_000005_000015
xcu-xrvXZ3E,0,10,xcu-xrvXZ3E_000000_000010
HuHTYY9a4po,0,10,HuHTYY9a4po_000000_000010
3XNJ0WjFL88,125,135,3XNJ0WjFL88_000125_000135
kPPJWRQFpuA,51,61,kPPJWRQFpuA_000051_000061
TcBTDj1z6YI,28,38,TcBTDj1z6YI_000028_000038
2hMY_RFeZWQ,23,33,2hMY_RFeZWQ_000023_000033
7UQKOm6lJq0,0,10,7UQKOm6lJq0_000000_000010
BHxn3qfPAl4,18,28,BHxn3qfPAl4_000018_000028
4sjALsnszUQ,22,32,4sjALsnszUQ_000022_000032
49aajBLMB_A,92,102,49aajBLMB_A_000092_000102
r9vWNjeDh7A,153,163,r9vWNjeDh7A_000153_000163
tpm-b2JBck0,199,209,tpm-b2JBck0_000199_000209
okj49wqBI0s,0,10,okj49wqBI0s_000000_000010
fOd5Ynz_ang,209,219,fOd5Ynz_ang_000209_000219
7qnnCkJdBZc,121,131,7qnnCkJdBZc_000121_000131
M4_oCq6M_gk,0,10,M4_oCq6M_gk_000000_000010
DZHaPAhjpWA,0,10,DZHaPAhjpWA_000000_000010
mjLLz9lf2LU,140,150,mjLLz9lf2LU_000140_000150
2_hbTxJ2fbI,102,112,2_hbTxJ2fbI_000102_000112
pBBgKwuXhSU,0,10,pBBgKwuXhSU_000000_000010
obZdhu9JICw,135,145,obZdhu9JICw_000135_000145
Uf9fRrDe1J0,94,104,Uf9fRrDe1J0_000094_000104
d0irWdzJHNU,49,59,d0irWdzJHNU_000049_000059
8ctetQtEUd4,82,92,8ctetQtEUd4_000082_000092
u-olDM7oGGM,12,22,u-olDM7oGGM_000012_000022
lr_1rbqo_KQ,27,37,lr_1rbqo_KQ_000027_000037
pBbY2bAG8cY,0,10,pBbY2bAG8cY_000000_000010
j8Bp0L9D1oM,74,84,j8Bp0L9D1oM_000074_000084
n2qG2mrjDhc,139,149,n2qG2mrjDhc_000139_000149
BcW6Y7eufQE,239,249,BcW6Y7eufQE_000239_000249
wl4VBbzlt_0,0,10,wl4VBbzlt_0_000000_000010
5ILkwhgwtkQ,120,130,5ILkwhgwtkQ_000120_000130
diqTso9slWo,68,78,diqTso9slWo_000068_000078
1olz6MxMmEc,43,53,1olz6MxMmEc_000043_000053
mKDfxhXHMA4,80,90,mKDfxhXHMA4_000080_000090
HCvBleeJxGk,673,683,HCvBleeJxGk_000673_000683
cbznHY8uOOE,6,16,cbznHY8uOOE_000006_000016
9OFA8JAhVVc,12,22,9OFA8JAhVVc_000012_000022
iheIju_enig,0,10,iheIju_enig_000000_000010
qB9XxN1wrLE,33,43,qB9XxN1wrLE_000033_000043
933ATvsTuBo,0,10,933ATvsTuBo_000000_000010
mavHEgYNLjs,18,28,mavHEgYNLjs_000018_000028
iOwov3nYkyA,2,12,iOwov3nYkyA_000002_000012
FB8xx-lkCEs,22,32,FB8xx-lkCEs_000022_000032
BJNbW-UCKKE,6,16,BJNbW-UCKKE_000006_000016
YDUE9P2u5XY,0,10,YDUE9P2u5XY_000000_000010
3fV7_Bci5nM,460,470,3fV7_Bci5nM_000460_000470
0FhPVyStI9M,0,10,0FhPVyStI9M_000000_000010
NDNhOyUn3iI,0,10,NDNhOyUn3iI_000000_000010
IB-8NOqnd5Q,0,10,IB-8NOqnd5Q_000000_000010
MbMGs5VEBTE,5,15,MbMGs5VEBTE_000005_000015
88UXwcnRlc0,0,10,88UXwcnRlc0_000000_000010
R6kve7ImQ_Y,4,14,R6kve7ImQ_Y_000004_000014
R0M0xbeZR0E,1004,1014,R0M0xbeZR0E_001004_001014
5jS7QxyiCcU,1,11,5jS7QxyiCcU_000001_000011
pfDtEL7saqc,34,44,pfDtEL7saqc_000034_000044
dkGgRU-OS6k,33,43,dkGgRU-OS6k_000033_000043
a-SfHsg-0jE,106,116,a-SfHsg-0jE_000106_000116
Pj_070vBUeQ,10,20,Pj_070vBUeQ_000010_000020
AB--gD-XTR8,92,102,AB--gD-XTR8_000092_000102
iNpZOj_WCxk,0,10,iNpZOj_WCxk_000000_000010
50SQnqTg4RY,4,14,50SQnqTg4RY_000004_000014
VawlEZaX0_g,195,205,VawlEZaX0_g_000195_000205
hcRtBOXLM2M,17,27,hcRtBOXLM2M_000017_000027
1zXXjwcOXTs,202,212,1zXXjwcOXTs_000202_000212
4b9-FaG16Y4,12,22,4b9-FaG16Y4_000012_000022
J9Rv2nwPYzA,1,11,J9Rv2nwPYzA_000001_000011
2eZXyVzwBL4,38,48,2eZXyVzwBL4_000038_000048
elZqdoIVos4,38,48,elZqdoIVos4_000038_000048
P5hhn9m-C68,0,10,P5hhn9m-C68_000000_000010
ZeCnXIB60RM,30,40,ZeCnXIB60RM_000030_000040
d7_SY48r__8,60,70,d7_SY48r__8_000060_000070
zaihqvEFZQo,31,41,zaihqvEFZQo_000031_000041
lcT0ukZeCzo,317,327,lcT0ukZeCzo_000317_000327
MaP74kzZM-I,0,10,MaP74kzZM-I_000000_000010
IXDyBE4x7kE,173,183,IXDyBE4x7kE_000173_000183
I0IwSlWUDDM,4,14,I0IwSlWUDDM_000004_000014
lg5jO10MDkI,84,94,lg5jO10MDkI_000084_000094
FM9ZVAyt_F4,11,21,FM9ZVAyt_F4_000011_000021
c8N9aqGstfg,132,142,c8N9aqGstfg_000132_000142
t2pIDQGBiHI,9,19,t2pIDQGBiHI_000009_000019
ltAcfsUNsJE,20,30,ltAcfsUNsJE_000020_000030
t0YEd74kWr0,124,134,t0YEd74kWr0_000124_000134
SMrNALE2rU0,32,42,SMrNALE2rU0_000032_000042
UMI8Q3kp6s4,17,27,UMI8Q3kp6s4_000017_000027
ce8HdSJE9No,1,11,ce8HdSJE9No_000001_000011
fsp4_r7wKCw,4,14,fsp4_r7wKCw_000004_000014
oOQpEj7htwo,107,117,oOQpEj7htwo_000107_000117
fFDSjHTJI5g,18,28,fFDSjHTJI5g_000018_000028
xdbUx_h6iRI,19,29,xdbUx_h6iRI_000019_000029
0c8VvSaw-b4,13,23,0c8VvSaw-b4_000013_000023
-qWJhSDY2Tc,1,11,-qWJhSDY2Tc_000001_000011
atLO_DGRq4M,51,61,atLO_DGRq4M_000051_000061
7CU5PutLjBg,191,201,7CU5PutLjBg_000191_000201
q3n20KPoaos,0,10,q3n20KPoaos_000000_000010
5i-D02GAEh0,0,10,5i-D02GAEh0_000000_000010
GJJ_5dPMZ2c,38,48,GJJ_5dPMZ2c_000038_000048
829ebn4-0KE,18,28,829ebn4-0KE_000018_000028
3OJasCVIqrM,16,26,3OJasCVIqrM_000016_000026
dGNSQX53IT4,83,93,dGNSQX53IT4_000083_000093
mnSDXfyYpr4,35,45,mnSDXfyYpr4_000035_000045
ooABibl7bJw,22,32,ooABibl7bJw_000022_000032
AFzMNrdZQr0,24,34,AFzMNrdZQr0_000024_000034
nauxZ_zt5bk,103,113,nauxZ_zt5bk_000103_000113
ufL_i84GFmk,10,20,ufL_i84GFmk_000010_000020
ngbrye39-Qk,190,200,ngbrye39-Qk_000190_000200
-rFgI-VJ98A,9,19,-rFgI-VJ98A_000009_000019
sh5fccLkB1M,8,18,sh5fccLkB1M_000008_000018
183zmnjVGUU,0,10,183zmnjVGUU_000000_000010
EA3HCx0yTIY,281,291,EA3HCx0yTIY_000281_000291
F7UUQDKc6Mk,2,12,F7UUQDKc6Mk_000002_000012
AVn6O5tB5GA,73,83,AVn6O5tB5GA_000073_000083
w70REJeQqOI,40,50,w70REJeQqOI_000040_000050
XmG50V_sAaw,0,10,XmG50V_sAaw_000000_000010
FE46Bv5xBxc,30,40,FE46Bv5xBxc_000030_000040
ZbI_bpw83Pc,7,17,ZbI_bpw83Pc_000007_000017
_IEhvtusy8Y,21,31,_IEhvtusy8Y_000021_000031
y-_wJeVR3QQ,35,45,y-_wJeVR3QQ_000035_000045
oLVxjvNTTVw,57,67,oLVxjvNTTVw_000057_000067
9v7Ecidd5Ns,2,12,9v7Ecidd5Ns_000002_000012
xgsMwJ6LJ24,3,13,xgsMwJ6LJ24_000003_000013
O7kvZg8bFFg,0,10,O7kvZg8bFFg_000000_000010
QJkpPoCxXqQ,21,31,QJkpPoCxXqQ_000021_000031
IczD9OzKvco,102,112,IczD9OzKvco_000102_000112
M8YP9caUgrk,0,10,M8YP9caUgrk_000000_000010
_nLeDqOr95c,6,16,_nLeDqOr95c_000006_000016
s6CRUjearK8,10,20,s6CRUjearK8_000010_000020
M9aeblGaYPM,22,32,M9aeblGaYPM_000022_000032
JMyCoStRMFg,6,16,JMyCoStRMFg_000006_000016
_U4GVnLvm9w,0,10,_U4GVnLvm9w_000000_000010
M3C1tIG5NsU,1,11,M3C1tIG5NsU_000001_000011
2cuaJWElJ5M,0,10,2cuaJWElJ5M_000000_000010
qFDrQ5YtmA4,47,57,qFDrQ5YtmA4_000047_000057
nBxIVmgcMyo,50,60,nBxIVmgcMyo_000050_000060
IaB2PTRQRR0,18,28,IaB2PTRQRR0_000018_000028
9vttVIYnQpQ,0,10,9vttVIYnQpQ_000000_000010
DrqXARYeJaI,1,11,DrqXARYeJaI_000001_000011
mB0x7hz1jWM,23,33,mB0x7hz1jWM_000023_000033
xdBFPBV4PMk,79,89,xdBFPBV4PMk_000079_000089
7IE2OCGjZns,153,163,7IE2OCGjZns_000153_000163
eXbVMzcdf8A,158,168,eXbVMzcdf8A_000158_000168
_bxycPwpc7U,7,17,_bxycPwpc7U_000007_000017
7FMweTGNlJ0,0,10,7FMweTGNlJ0_000000_000010
5ejrCUnJQ2A,35,45,5ejrCUnJQ2A_000035_000045
CISOTXN2Y00,5,15,CISOTXN2Y00_000005_000015
NPnVbn5Xn4U,114,124,NPnVbn5Xn4U_000114_000124
p7uUj6baem0,83,93,p7uUj6baem0_000083_000093
abaLFY_GI8k,295,305,abaLFY_GI8k_000295_000305
XFNsGFJkBMc,250,260,XFNsGFJkBMc_000250_000260
p6WZSs9Rh4s,0,10,p6WZSs9Rh4s_000000_000010
gHQSnIjxigo,0,10,gHQSnIjxigo_000000_000010
I7NGQdNGeOA,96,106,I7NGQdNGeOA_000096_000106
AWO_nKil_kA,7,17,AWO_nKil_kA_000007_000017
bjJw5KSto1k,52,62,bjJw5KSto1k_000052_000062
VyYKPjYy1KI,74,84,VyYKPjYy1KI_000074_000084
b1x_oZ11U0Y,16,26,b1x_oZ11U0Y_000016_000026
OF60r1xLH84,13,23,OF60r1xLH84_000013_000023
TRi-malY8mk,143,153,TRi-malY8mk_000143_000153
9Ev8CeE6CCc,8,18,9Ev8CeE6CCc_000008_000018
VaaUbEFcvvY,32,42,VaaUbEFcvvY_000032_000042
jF9vqo3B-hw,100,110,jF9vqo3B-hw_000100_000110
Db2iwXmouCg,0,10,Db2iwXmouCg_000000_000010
CXqpN526TxM,25,35,CXqpN526TxM_000025_000035
kmFC4sOQZ4c,7,17,kmFC4sOQZ4c_000007_000017
SeNoWuLz71s,24,34,SeNoWuLz71s_000024_000034
vdbD-0YLLBI,44,54,vdbD-0YLLBI_000044_000054
qBgzUKHbwOY,8,18,qBgzUKHbwOY_000008_000018
CDxWSAtSOEA,0,10,CDxWSAtSOEA_000000_000010
k-R1hp7NtyA,0,10,k-R1hp7NtyA_000000_000010
s-NJI7kSCMM,330,340,s-NJI7kSCMM_000330_000340
9iMoFY54i68,58,68,9iMoFY54i68_000058_000068
WGEqacFJSSA,81,91,WGEqacFJSSA_000081_000091
5vA-kP3C-WY,303,313,5vA-kP3C-WY_000303_000313
0bbub2tFSow,26,36,0bbub2tFSow_000026_000036
vLVriglUlpc,193,203,vLVriglUlpc_000193_000203
rLVBXQYdJpI,0,10,rLVBXQYdJpI_000000_000010
hmo7QQh6obw,170,180,hmo7QQh6obw_000170_000180
2HiDlFDURVs,19,29,2HiDlFDURVs_000019_000029
DBvL7JkXCjU,4,14,DBvL7JkXCjU_000004_000014
KG7MOPV_hdg,39,49,KG7MOPV_hdg_000039_000049
pB9p3f25RpA,0,10,pB9p3f25RpA_000000_000010
7jmUQ0VYoV0,172,182,7jmUQ0VYoV0_000172_000182
RtV8ySth6w4,252,262,RtV8ySth6w4_000252_000262
n3GQm7axSRo,0,10,n3GQm7axSRo_000000_000010
_QQn_eu17F4,0,10,_QQn_eu17F4_000000_000010
j6CgiNeWQwM,842,852,j6CgiNeWQwM_000842_000852
Wq7Dqd0c348,73,83,Wq7Dqd0c348_000073_000083
BFfOzTssqX4,0,10,BFfOzTssqX4_000000_000010
PBui9niyfvI,172,182,PBui9niyfvI_000172_000182
0MC18taIzNU,5,15,0MC18taIzNU_000005_000015
vbPK1FaEkkY,1,11,vbPK1FaEkkY_000001_000011
kqzIkm7q2ko,14,24,kqzIkm7q2ko_000014_000024
NZLydTq7Q98,3,13,NZLydTq7Q98_000003_000013
3GgZd2Klrzc,39,49,3GgZd2Klrzc_000039_000049
Q1mbd32UH34,0,10,Q1mbd32UH34_000000_000010
XbSNCTZiMQE,37,47,XbSNCTZiMQE_000037_000047
6ryHWDodCgA,17,27,6ryHWDodCgA_000017_000027
eb-ufaFcUas,8,18,eb-ufaFcUas_000008_000018
xbFechNcpsg,6,16,xbFechNcpsg_000006_000016
jQblrPUh-FM,8,18,jQblrPUh-FM_000008_000018
sElhD1rHXHw,6,16,sElhD1rHXHw_000006_000016
I08yHasZUzw,21,31,I08yHasZUzw_000021_000031
bhngCE8rihI,1007,1017,bhngCE8rihI_001007_001017
-Y42AZudrLk,10,20,-Y42AZudrLk_000010_000020
bzawAHbQI68,459,469,bzawAHbQI68_000459_000469
OASCPKazLIM,132,142,OASCPKazLIM_000132_000142
Z9AzAk3OzEM,67,77,Z9AzAk3OzEM_000067_000077
3DPFZEqRWcw,0,10,3DPFZEqRWcw_000000_000010
70A4UJ3J7w0,10,20,70A4UJ3J7w0_000010_000020
0sICsDdHAnw,170,180,0sICsDdHAnw_000170_000180
jwy5IYx3m6k,465,475,jwy5IYx3m6k_000465_000475
yUSEphldA3U,208,218,yUSEphldA3U_000208_000218
b6Eejb-2hOs,0,10,b6Eejb-2hOs_000000_000010
-zuaFzRzl7Y,147,157,-zuaFzRzl7Y_000147_000157
89kpJOg07WI,28,38,89kpJOg07WI_000028_000038
rjv8GzaSFgQ,10,20,rjv8GzaSFgQ_000010_000020
E-jdPE-780o,9,19,E-jdPE-780o_000009_000019
C4g_K_MIPUg,90,100,C4g_K_MIPUg_000090_000100
TCq6YWVfw3c,0,10,TCq6YWVfw3c_000000_000010
xAom09ISjoQ,23,33,xAom09ISjoQ_000023_000033
4UDnIHZjJeI,323,333,4UDnIHZjJeI_000323_000333
9ZWXvDG9DHo,52,62,9ZWXvDG9DHo_000052_000062
jK5Q_nYZ9fc,46,56,jK5Q_nYZ9fc_000046_000056
ip3qZdEsaao,5,15,ip3qZdEsaao_000005_000015
J8qydlYrOcM,2,12,J8qydlYrOcM_000002_000012
RJ3fS6JkG2A,109,119,RJ3fS6JkG2A_000109_000119
Pkb3IPV21Uo,65,75,Pkb3IPV21Uo_000065_000075
V7r_lGdJiko,14,24,V7r_lGdJiko_000014_000024
_2gwvJM0no0,13,23,_2gwvJM0no0_000013_000023
YAn9P_CAAxU,52,62,YAn9P_CAAxU_000052_000062
U2PPeWWDSgM,33,43,U2PPeWWDSgM_000033_000043
bjf8vlgDLh4,0,10,bjf8vlgDLh4_000000_000010
X2Qn08i-I48,62,72,X2Qn08i-I48_000062_000072
7c4tJzsBhyk,0,10,7c4tJzsBhyk_000000_000010
QorodcJBwHo,94,104,QorodcJBwHo_000094_000104
d9qX3QKIGE8,0,10,d9qX3QKIGE8_000000_000010
Az9PfQzAL6U,2,12,Az9PfQzAL6U_000002_000012
vgsveBkXVss,291,301,vgsveBkXVss_000291_000301
9i0-Zb_I4vY,124,134,9i0-Zb_I4vY_000124_000134
n1NdNyY2T_w,187,197,n1NdNyY2T_w_000187_000197
N1J1AgIV0dE,51,61,N1J1AgIV0dE_000051_000061
-CDQ-DFjDoA,6,16,-CDQ-DFjDoA_000006_000016
_hH1yZQf5Og,0,10,_hH1yZQf5Og_000000_000010
5L6dT8pjhTs,48,58,5L6dT8pjhTs_000048_000058
1V_Njbc_dos,256,266,1V_Njbc_dos_000256_000266
-QOiBLyrsTY,15,25,-QOiBLyrsTY_000015_000025
GhBWH6spLNY,164,174,GhBWH6spLNY_000164_000174
heWD9j45Emw,225,235,heWD9j45Emw_000225_000235
3enkE73aOfM,123,133,3enkE73aOfM_000123_000133
P9dC44uaRME,0,10,P9dC44uaRME_000000_000010
-4HEECqpLUQ,94,104,-4HEECqpLUQ_000094_000104
gHf8NAY7GYE,447,457,gHf8NAY7GYE_000447_000457
P1IJFOpUZAc,8,18,P1IJFOpUZAc_000008_000018
IJr83ksSr7I,0,10,IJr83ksSr7I_000000_000010
E9-ZMNl3qmY,8,18,E9-ZMNl3qmY_000008_000018
ACqrR9G1T-w,17,27,ACqrR9G1T-w_000017_000027
eNnDmruTTfQ,367,377,eNnDmruTTfQ_000367_000377
WGv6N0I2dqE,833,843,WGv6N0I2dqE_000833_000843
vH-eCtxSJyg,8,18,vH-eCtxSJyg_000008_000018
vglFM8FPf68,45,55,vglFM8FPf68_000045_000055
ypsPcmnMIg8,278,288,ypsPcmnMIg8_000278_000288
xW6hpK-DBMY,80,90,xW6hpK-DBMY_000080_000090
jLNxQwsNuUA,187,197,jLNxQwsNuUA_000187_000197
HimTGgI4VQ8,8,18,HimTGgI4VQ8_000008_000018
0-ZTHLSo_iI,65,75,0-ZTHLSo_iI_000065_000075
jfSHyZpq-CQ,0,10,jfSHyZpq-CQ_000000_000010
Nd_iyajhQFQ,26,36,Nd_iyajhQFQ_000026_000036
Bb8YBY227Es,56,66,Bb8YBY227Es_000056_000066
wGNaOBeul3A,36,46,wGNaOBeul3A_000036_000046
MxBfFe-vl8s,40,50,MxBfFe-vl8s_000040_000050
j4CKRgv3jUg,0,10,j4CKRgv3jUg_000000_000010
2O1Ta9Rt7tA,494,504,2O1Ta9Rt7tA_000494_000504
1EN3io4JoeY,216,226,1EN3io4JoeY_000216_000226
FKp3AjLsM8A,79,89,FKp3AjLsM8A_000079_000089
CVMIFXXWR9U,21,31,CVMIFXXWR9U_000021_000031
o87ODF1TZQE,27,37,o87ODF1TZQE_000027_000037
S-C86j0keqc,217,227,S-C86j0keqc_000217_000227
2FlVNwpozfI,4,14,2FlVNwpozfI_000004_000014
FQ3CVI9OHAU,0,10,FQ3CVI9OHAU_000000_000010
qDhz5c0PNWc,6,16,qDhz5c0PNWc_000006_000016
CK7SMUa0Plc,6,16,CK7SMUa0Plc_000006_000016
7h4QEAFAxZw,8,18,7h4QEAFAxZw_000008_000018
